"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"1839-79","Quaternary ammonium","NP 4.5 Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1839-81","Quaternary ammonium","NP 9.0 Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"3862-191","Quaternary ammonium","Assure","ABC Compounding Co Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"4822-607","Quaternary ammonium","Lauda","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"4822-609","Quaternary ammonium","Stewart","S.C. Johnson & Son Inc","3","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-73","Quaternary ammonium","Clorox Everest","The Clorox Company","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"61178-5","Quaternary ammonium","CCX-151","Microgen Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"6198-4","Quaternary ammonium","Q. A. Concentrated Solution","National Chemicals Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-10","Quaternary ammonium","CPPC Everest","Clorox Professional Products Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"70627-15","Quaternary ammonium","Warrior","Diversey Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"70627-2","Quaternary ammonium","Disinfectant D.C. 100","Diversey Inc","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"70627-23","Quaternary ammonium","Virex™ II/ 64","Diversey Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"70627-63","Quaternary ammonium","512 Sanitizer","Diversey Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"777-130","Quaternary ammonium","Caterpillar","Reckitt Benckiser LLC","2.5 (2 minutes & 30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"777-66","Quaternary ammonium","Lysol® Brand All Purpose Cleaner","Reckitt Benckiser LLC","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"777-82","Quaternary ammonium","Lysol® Brand Deodorizing Disinfectant Cleaner","Reckitt Benckiser LLC","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"777-91","Quaternary ammonium","Lysol® Kitchen Pro Antibacterial Cleaner","Reckitt Benckiser LLC","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"85343-1","Quaternary ammonium","Teccare Control","Talley Environmental Care Limited","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"90287-1","Quaternary ammonium","Maquat 25.6-PDX","VI-JON Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"9480-5","Quaternary ammonium","Sani-cloth Germicidal Disposable Cloth","Professional Disposables International Inc","3","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-58","Quaternary ammonium","Spruce-ups","The Clorox Company","4","Wipe","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/13/2020"
"44446-23","Quaternary ammonium","Germ Away","Quest Specialty Corp","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/13/2020"
"5813-109","Quaternary ammonium","Say Q","The Clorox Company","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/13/2020"
"5813-118","Quaternary ammonium","Dash","The Clorox Company","10","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/13/2020"
"6659-3","Quaternary ammonium","Spray Nine","ITW Permatex Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Rhinovirus; Poliovirus","03/13/2020"
"67619-20","Quaternary ammonium","Rex","Clorox Professional Products Company","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus","03/13/2020"
"67619-41","Quaternary ammonium","PPD Dash","Clorox Professional Products Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/13/2020"
"67619-9","Quaternary ammonium","PJW-622","Clorox Professional Products Company","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/13/2020"
"6836-277","Quaternary ammonium","BARDAC 205M-1.30","Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"6836-303","Quaternary ammonium","BARDAC 205M-5.2","Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"6836-362","Quaternary ammonium","Nugen MB5A-128","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"6836-363","Quaternary ammonium","Nugen MB5A-64","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"6836-366","Quaternary ammonium","Nugen MB5N-64","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"83614-1","Quaternary ammonium","Byotrol 24","Byotrol Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/13/2020"
"777-70","Quaternary ammonium","Lysol® Brand Cling & Fresh Toilet Bowl Cleaner","Reckitt Benckiser LLC","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/03/2020"
"1839-220","Quaternary ammonium","SC-RTU Disinfectant Cleaner","Stepan Company","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/03/2020"
"1839-248","Quaternary ammonium","Stepan Spray Disinfectant Concentrate","Stepan Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/03/2020"
"1839-83","Quaternary ammonium","Detergent Disinfectant Pump Spray","Stepan Company","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/03/2020"
"4091-21","Quaternary ammonium","Condor 2","W.M. Barr & Company Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/03/2020"
"47371-129","Quaternary ammonium","Formulation HWS- 256","H&S Chemicals Division of Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 7","03/03/2020"
"47371-130","Quaternary ammonium","Formulation HWS-128","H&S Chemicals Division of Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/03/2020"
"47371-131","Quaternary ammonium","HWS-64","H&S Chemicals Division of Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/03/2020"
"47371-192","Quaternary ammonium","Formulation HWS-32","H&S Chemicals Division of Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/03/2020"
"5813-115","Quaternary ammonium","Clorox Scentiva Bathroom Disinfecting Foam Cleaner","The Clorox Company","5","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/03/2020"
"5813-40","Quaternary ammonium","Clorox Disinfecting Bathroom Cleaner","The Clorox Company","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/03/2020"
"675-54","Quaternary ammonium","Lysol® Brand Heavy Duty Cleaner Disinfectant Concentrate","Reckitt Benckiser LLC","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/03/2020"
"67619-37","Quaternary ammonium","Clorox Healthcare® VersaSure® Wipes","Clorox Professional Products Company","5","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"67619-38","Quaternary ammonium","CloroxPro™ Clorox Total 360® Disinfecting Cleaner1","Clorox Professional Products Company","2","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/03/2020"
"6836-266","Quaternary ammonium","BARDAC 205M-10","Lonza LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-278","Quaternary ammonium","BARDAC 205M- 14.08","Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-289","Quaternary ammonium","BARDAC 205M RTU","Lonza LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-302","Quaternary ammonium","BARDAC 205M-2.6","Lonza LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-305","Quaternary ammonium","BARDAC 205M-23","Lonza LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-361","Quaternary ammonium","Nugen MB5A-256","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-364","Quaternary ammonium","Nugen MB5N-256","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-365","Quaternary ammonium","Nugen MB5N-128","Lonza LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"6836-70","Quaternary ammonium","BARDAC 205M-7.5","Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"70627-24","Quaternary ammonium","Virex™ II / 256","Diversey Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 2","03/03/2020"
"777-89","Quaternary ammonium","Lysol® Brand Clean & Fresh Multi-surface Cleaner","Reckitt Benckiser LLC","3","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus WA","03/03/2020"
"4091-22","Quaternary ammonium; Citric acid","Raptor 5","W.M. Barr & Company Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/03/2020"
"42182-13","Quaternary ammonium; Ethanol (Ethyl alcohol)","Ironman Wipe","Microban Products Company","2","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","08/13/2020"
"67603-4","Quaternary ammonium; Ethanol (Ethyl alcohol)","Spray Disinfectant","Sherwin Williams Diversified Brands","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"777-127","Quaternary ammonium; Ethanol (Ethyl alcohol)","Lysol® Disinfectant Max Cover Mist","Reckitt Benckiser LLC","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/06/2020"
"777-99","Quaternary ammonium; Ethanol (Ethyl alcohol)","Lysol® Disinfectant Spray","Reckitt Benckiser LLC","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Tested against SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","SARS-CoV-2","07/06/2020"
"11525-30","Quaternary ammonium; Ethanol (Ethyl alcohol)","Disinfectant Spray ""G""","Aerosols Danville Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/23/2020"
"70144-5","Quaternary ammonium; Ethanol (Ethyl alcohol)","Opti-cide Max","Micro-Scientific LLC","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/16/2020"
"498-179","Quaternary ammonium; Ethanol (Ethyl alcohol)","Champion Sprayon Spray Disinfectant Formula 3","Chase Products Co","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/02/2020"
"70144-4","Quaternary ammonium; Ethanol (Ethyl alcohol)","Opti-cide Max Wipes","Micro-Scientific LLC","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/26/2020"
"42964-17","Quaternary ammonium; Ethanol (Ethyl alcohol)","Asepticare","Airkem professional products","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"88494-1","Quaternary ammonium; Ethanol (Ethyl alcohol)","Wedge Disinfectant","North American Infection Control LTD","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"42182-9","Quaternary ammonium; Ethanol (Ethyl alcohol)","Firebird F130","Microban Products Company","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus; Norovirus","03/03/2020"
"67619-21","Quaternary ammonium; Ethanol (Ethyl alcohol)","Clorox Commercial Solutions® Clorox® Disinfecting Spray","Clorox Professional Products Company","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Coxsackievirus; Echovirus; Feline calicivirus; Hepatitis A virus; Poliovirus","03/03/2020"
"88494-3","Quaternary ammonium; Ethanol (Ethyl alcohol)","Peak Disinfectant","North American Infection Control Ltd","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus Type 1; Rhinovirus","03/03/2020"
"88494-4","Quaternary ammonium; Ethanol (Ethyl alcohol)","Peak Disinfectant Wipes","North American Infection Control Ltd","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus Type 1; Rhinovirus","03/03/2020"
"88897-1","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Panther Disinfectant Towelette","Maxill Inc","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","04/23/2020"
"88897-2","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Panther Disinfectant","Maxill Inc","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Feline calicivirus","04/02/2020"
"46781-12","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Cavicide 1","Metrex Research","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Rotavirus; Feline calicivirus","03/13/2020"
"46781-13","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Caviwipes 1","Metrex Research","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/13/2020"
"9480-10","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Sani-Prime Germicidal Spray","Professional Disposables International Inc","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/03/2020"
"9480-12","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Sani-Cloth Prime Germicidal Disposable Wipe","Professional Disposables International Inc","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/03/2020"
"33176-5","Quaternary ammonium; Ethanol (Ethyl alcohol); Phenolic","Airysol Brand Surface Disinfectant","Amrep Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"71355-1","Quaternary ammonium; Glutaraldehyde","Virocid","CID Lines NV","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Porcine circovirus","05/28/2020"
"66171-7","Quaternary ammonium; Glutaraldehyde","Synergize","Preserve International","10","Dilutable","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/02/2020"
"63761-8","Quaternary ammonium; Hydrogen peroxide","Sterilex Ultra Disinfectant Cleaner Solution 1","Sterilex","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/03/2020"
"46781-17","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","CaviWipes 2.0","Metrex Research","2","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 2","08/13/2020"
"46781-8","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Caviwipes","Metrex Research","3","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"59894-10","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Kwikkill Disinfectant Deodorizing Cleaning Wipes","M & S Research Inc","2","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium tuberculosis","07/23/2020"
"10492-4","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Discide Ultra Disinfecting Towelettes","Palmero Healthcare LLC","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 2","06/11/2020"
"1043-129","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Vesta-Syde SQ64 Ready-to-Use Disinfectant","Steris Corporation","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","05/07/2020"
"70144-2","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Opti-Cide 3® Wipes","Micro-Scientific LLC","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Rhinovirus","04/09/2020"
"1130-15","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Weiman Germicidal Solution","Weiman Products LLC","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/19/2020"
"70144-1","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Opti-Cide 3®","Micro-Scientific LLC","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Rhinovirus Type 14","03/19/2020"
"9480-4","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Super Sani-Cloth Germicidal Disposable Wipe","Professional Disposables International Inc","2","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus 39; Adenovirus","03/19/2020"
